"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-198.10638961364663,-3312.5205984651175,366.24654445198206,10,0.5,0.1,0.5,0.5,3678.7671429170996,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-193.49609516984657,-2874.850082442987,388.57582758415003,10,0.5,0.15000000000000002,0.5,0.5,3263.425910027137,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-198.32023319532556,-2833.8813710840923,321.1569737335491,10,0.5,0.2,0.5,0.5,3155.0383448176412,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-213.77518412477042,-2862.5992775920813,327.25079138977435,10,0.5,0.25,0.5,0.5,3189.8500689818557,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-201.5031771113347,-3601.9877594397803,350.0729496533844,10,0.5,0.30000000000000004,0.5,0.5,3952.060709093165,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-208.184922518317,-3116.298957778879,308.5989823369324,10,0.5,0.35,0.5,0.5,3424.8979401158113,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-187.87349681394386,-3059.7503047047253,418.6520112365285,10,0.5,0.4,0.5,0.5,3478.4023159412536,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-163.13540573275574,-3081.837256550315,445.9343457700571,10,0.5,0.45000000000000007,0.5,0.5,3527.771602320372,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-172.91622330477176,-2628.417927500331,333.4101125838195,10,0.5,0.5,0.5,0.5,2961.828040084151,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-199.75554337219037,-3267.551360216813,379.1187790450406,10,0.5,0.55,0.5,0.5,3646.6701392618534,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-196.0048005177087,-3385.1592100214143,411.8138427647071,10,0.5,0.6,0.5,0.5,3796.9730527861216,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-188.83391173179004,-3076.35849626778,395.77211157473766,10,0.5,0.65,0.5,0.5,3472.1306078425177,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-177.22594582716152,-2749.4718434912547,410.7275286581922,10,0.5,0.7000000000000001,0.5,0.5,3160.199372149447,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-191.02513495387473,-2934.108052746685,299.2211831689874,10,0.5,0.75,0.5,0.5,3233.3292359156726,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-194.09977349797873,-2873.5248500810962,253.28809722321157,10,0.5,0.8,0.5,0.5,3126.8129473043077,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-190.39091440327192,-3204.149168181151,238.64825410319997,10,0.5,0.85,0.5,0.5,3442.797422284351,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-193.73133020882062,-3277.7132735756977,346.9832438012051,10,0.5,0.9,0.5,0.5,3624.6965173769026,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-158.80257585206837,-3380.4998370924354,647.9873650256475,10,0.5,0.95,0.5,0.5,4028.4872021180827,"zoosaquariumsgardens-10"
"entertainment","totartsentertainment",-335.4510861623095,-3200.401957852365,18.880110279433904,10,0.5,0.1,0.5,0.5,3219.282068131799,"totartsentertainment-10"
"entertainment","totartsentertainment",-285.33266672222624,-3288.4995613047035,27.235450320814074,10,0.5,0.15000000000000002,0.5,0.5,3315.7350116255175,"totartsentertainment-10"
"entertainment","totartsentertainment",-312.8876583206462,-3249.706128334325,45.846171288103186,10,0.5,0.2,0.5,0.5,3295.552299622428,"totartsentertainment-10"
"entertainment","totartsentertainment",-321.0067190099387,-3926.379119022414,46.303978277318414,10,0.5,0.25,0.5,0.5,3972.6830972997327,"totartsentertainment-10"
"entertainment","totartsentertainment",-328.5294131580531,-3830.4296965695476,11.048960713880145,10,0.5,0.30000000000000004,0.5,0.5,3841.4786572834278,"totartsentertainment-10"
"entertainment","totartsentertainment",-331.1985492367038,-4315.2753125241215,30.197230451320383,10,0.5,0.35,0.5,0.5,4345.472542975442,"totartsentertainment-10"
"entertainment","totartsentertainment",-242.7014663460378,-3045.7821975203933,414.4483588437522,10,0.5,0.4,0.5,0.5,3460.2305563641457,"totartsentertainment-10"
"entertainment","totartsentertainment",-260.4347823926713,-4078.5428860723027,384.4174860844844,10,0.5,0.45000000000000007,0.5,0.5,4462.960372156787,"totartsentertainment-10"
"entertainment","totartsentertainment",-271.8730254865004,-4036.3022713476894,441.8112196320986,10,0.5,0.5,0.5,0.5,4478.113490979788,"totartsentertainment-10"
"entertainment","totartsentertainment",-242.1608413245769,-2844.8574401296837,436.66584748945866,10,0.5,0.55,0.5,0.5,3281.523287619142,"totartsentertainment-10"
"entertainment","totartsentertainment",-220.46674092072385,-4120.416242955083,561.4906945174622,10,0.5,0.6,0.5,0.5,4681.906937472546,"totartsentertainment-10"
"entertainment","totartsentertainment",-230.48342823477398,-3386.475998072382,668.2080560874714,10,0.5,0.65,0.5,0.5,4054.6840541598535,"totartsentertainment-10"
"entertainment","totartsentertainment",-218.46313657449272,-3543.531939030627,868.2214749443048,10,0.5,0.7000000000000001,0.5,0.5,4411.753413974932,"totartsentertainment-10"
"entertainment","totartsentertainment",-209.71650947118206,-3563.4802526689946,591.6073225197229,10,0.5,0.75,0.5,0.5,4155.087575188718,"totartsentertainment-10"
"entertainment","totartsentertainment",-182.67331030215382,-3810.8820739375246,832.4265677787293,10,0.5,0.8,0.5,0.5,4643.308641716254,"totartsentertainment-10"
"entertainment","totartsentertainment",-173.14492203818236,-3823.452133045046,841.0196398424075,10,0.5,0.85,0.5,0.5,4664.471772887454,"totartsentertainment-10"
"entertainment","totartsentertainment",-153.69798987392494,-3461.462842025363,1199.6231715388822,10,0.5,0.9,0.5,0.5,4661.086013564245,"totartsentertainment-10"
"entertainment","totartsentertainment",-169.26441977709882,-3700.302786116875,1276.0413621854382,10,0.5,0.95,0.5,0.5,4976.3441483023125,"totartsentertainment-10"
"entertainment","theatricalproductions",-313.49324371003524,-3908.1023207131548,79.20209605668674,10,0.5,0.1,0.5,0.5,3987.3044167698417,"theatricalproductions-10"
"entertainment","theatricalproductions",-304.0410638914091,-3747.553751426533,55.29814624241498,10,0.5,0.15000000000000002,0.5,0.5,3802.851897668948,"theatricalproductions-10"
"entertainment","theatricalproductions",-321.3520991483657,-3588.9151235869417,54.12029797667546,10,0.5,0.2,0.5,0.5,3643.035421563617,"theatricalproductions-10"
"entertainment","theatricalproductions",-302.0727481109804,-3642.073461615808,63.06882441223019,10,0.5,0.25,0.5,0.5,3705.142286028038,"theatricalproductions-10"
"entertainment","theatricalproductions",-339.5532855694811,-4224.678442965105,105.871201148266,10,0.5,0.30000000000000004,0.5,0.5,4330.549644113371,"theatricalproductions-10"
"entertainment","theatricalproductions",-289.9728152714956,-3392.695671367404,80.64592063906134,10,0.5,0.35,0.5,0.5,3473.3415920064654,"theatricalproductions-10"
"entertainment","theatricalproductions",-285.6971438221376,-3936.4554861537003,64.59839220707322,10,0.5,0.4,0.5,0.5,4001.0538783607735,"theatricalproductions-10"
"entertainment","theatricalproductions",-294.5532853822874,-3440.5077838559323,87.52056889248577,10,0.5,0.45000000000000007,0.5,0.5,3528.028352748418,"theatricalproductions-10"
"entertainment","theatricalproductions",-302.54659683929606,-3246.435972139875,91.48789423447826,10,0.5,0.5,0.5,0.5,3337.923866374353,"theatricalproductions-10"
"entertainment","theatricalproductions",-349.02749369445246,-4191.213673316307,30.061683434439097,10,0.5,0.55,0.5,0.5,4221.275356750746,"theatricalproductions-10"
"entertainment","theatricalproductions",-325.23789842330336,-3254.523700079344,78.06374637585112,10,0.5,0.6,0.5,0.5,3332.5874464551953,"theatricalproductions-10"
"entertainment","theatricalproductions",-340.7293048692279,-3223.3351453156133,72.31310919901432,10,0.5,0.65,0.5,0.5,3295.6482545146278,"theatricalproductions-10"
"entertainment","theatricalproductions",-290.95492661363755,-3988.7011560864503,77.75676000105598,10,0.5,0.7000000000000001,0.5,0.5,4066.4579160875064,"theatricalproductions-10"
"entertainment","theatricalproductions",-315.4153681329119,-4333.097837314014,60.30458226596223,10,0.5,0.75,0.5,0.5,4393.402419579977,"theatricalproductions-10"
"entertainment","theatricalproductions",-327.8671803557187,-3941.0985246618066,55.25313905344435,10,0.5,0.8,0.5,0.5,3996.351663715251,"theatricalproductions-10"
"entertainment","theatricalproductions",-245.80104714514027,-3903.8790997695787,462.60225122294383,10,0.5,0.85,0.5,0.5,4366.4813509925225,"theatricalproductions-10"
"entertainment","theatricalproductions",-231.820568115452,-3453.36649026939,582.3164402899117,10,0.5,0.9,0.5,0.5,4035.682930559302,"theatricalproductions-10"
"entertainment","theatricalproductions",-237.11986671911575,-3457.693598176992,695.3075153999276,10,0.5,0.95,0.5,0.5,4153.00111357692,"theatricalproductions-10"
"games","poolhallsbowlingalleys",24.52980206649982,-804.2678643247685,1090.4201912907174,10,0.5,0.1,0.5,0.5,1894.688055615486,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",12.887743044401653,-917.1381929640182,1256.369075956654,10,0.5,0.15000000000000002,0.5,0.5,2173.5072689206722,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",19.122554440281966,-709.4426168692785,1199.7331595200149,10,0.5,0.2,0.5,0.5,1909.1757763892933,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",23.19535901473313,-835.4246465748301,1147.0350569809025,10,0.5,0.25,0.5,0.5,1982.4597035557326,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",16.528725250898415,-736.0143424415976,1057.1487418436802,10,0.5,0.30000000000000004,0.5,0.5,1793.1630842852778,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",17.037153586802713,-736.9989667218463,1135.1155742422252,10,0.5,0.35,0.5,0.5,1872.1145409640715,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",11.58623855517583,-843.5233712219336,1145.3196723306935,10,0.5,0.4,0.5,0.5,1988.843043552627,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",25.800817024200278,-678.9577015749038,1093.0044048318562,10,0.5,0.45000000000000007,0.5,0.5,1771.96210640676,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",8.389331679484169,-659.8596345951792,1154.6504739807935,10,0.5,0.5,0.5,0.5,1814.5101085759727,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",13.84452714617316,-757.4219052472517,1373.2037704904553,10,0.5,0.55,0.5,0.5,2130.625675737707,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",23.96169653683191,-716.4333000458183,1288.9401907948857,10,0.5,0.6,0.5,0.5,2005.373490840704,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",22.701346327854427,-826.8538126958354,1157.6128191392295,10,0.5,0.65,0.5,0.5,1984.4666318350648,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",24.586931689098513,-789.4891008374343,1440.5003954757153,10,0.5,0.7000000000000001,0.5,0.5,2229.9894963131496,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",21.430673066892826,-658.943553994287,1480.3456877549486,10,0.5,0.75,0.5,0.5,2139.2892417492358,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",21.844736886307267,-825.1855401408392,1097.2716510939952,10,0.5,0.8,0.5,0.5,1922.4571912348342,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",23.139864781909658,-723.8409166996863,1293.2090021061356,10,0.5,0.85,0.5,0.5,2017.049918805822,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",14.878948086312327,-931.223188232833,1089.2957215458307,10,0.5,0.9,0.5,0.5,2020.5189097786638,"poolhallsbowlingalleys-10"
"games","poolhallsbowlingalleys",3.292697130195627,-897.3895927991667,837.3803539443935,10,0.5,0.95,0.5,0.5,1734.7699467435602,"poolhallsbowlingalleys-10"
"exhibits","museums",-382.8247080052415,-4314.220755217826,22.64329405415536,10,0.5,0.1,0.5,0.5,4336.8640492719815,"museums-10"
"exhibits","museums",-392.1003228633708,-4592.396717493724,40.73223163475564,10,0.5,0.15000000000000002,0.5,0.5,4633.12894912848,"museums-10"
"exhibits","museums",-341.3958032296464,-5207.212419247315,60.56503095973923,10,0.5,0.2,0.5,0.5,5267.777450207054,"museums-10"
"exhibits","museums",-332.4353715772587,-4628.382771686938,48.565301433683665,10,0.5,0.25,0.5,0.5,4676.948073120622,"museums-10"
"exhibits","museums",-357.3016603651728,-3989.4977997285005,86.18978900181378,10,0.5,0.30000000000000004,0.5,0.5,4075.687588730314,"museums-10"
"exhibits","museums",-347.27523218048395,-3920.7668283520998,34.41607048091391,10,0.5,0.35,0.5,0.5,3955.1828988330135,"museums-10"
"exhibits","museums",-350.4730920152443,-4270.6007126098,35.34185631589244,10,0.5,0.4,0.5,0.5,4305.942568925692,"museums-10"
"exhibits","museums",-347.4219355638006,-4357.957178891381,74.40542300756073,10,0.5,0.45000000000000007,0.5,0.5,4432.362601898942,"museums-10"
"exhibits","museums",-369.1619170869992,-5134.276904679131,50.19056874282288,10,0.5,0.5,0.5,0.5,5184.467473421953,"museums-10"
"exhibits","museums",-370.21710684544564,-4410.492673412016,32.98414200391111,10,0.5,0.55,0.5,0.5,4443.476815415927,"museums-10"
"exhibits","museums",-343.5148121327469,-3541.4028955411495,56.29632454584166,10,0.5,0.6,0.5,0.5,3597.6992200869913,"museums-10"
"exhibits","museums",-307.5394359294153,-3389.924640481659,428.14206830209105,10,0.5,0.65,0.5,0.5,3818.06670878375,"museums-10"
"exhibits","museums",-249.43713754950613,-3687.417967366024,653.2575331913238,10,0.5,0.7000000000000001,0.5,0.5,4340.675500557348,"museums-10"
"exhibits","museums",-316.26625654418103,-4169.736276577105,432.20367310868875,10,0.5,0.75,0.5,0.5,4601.939949685794,"museums-10"
